norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
10145;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief MAC-MKN (opgelost);0,90;µg/l;OW;Oppervlaktewateren;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);MAX;Maximum
10146;n-hepteen;25339-56-4;;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren Indicatief MAC-MKN (totaal);0,90;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
10298;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Oppervlaktewater zoet;log Kp l/kg (zwevend stof);1,9;;OW;Oppervlaktewater;NVT;Niet van toepassing;NVT;Niet van toepassing;NVT;Niet van toepassing
10299;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (totaal);12;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
10301;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren wettelijk JG-MKN (totaal);12;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
10303;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Sediment;Sediment MTR (droge stof);1;mg/kg;BS;Bodem/Sediment;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;;
10305;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Grondwater;Signaleringsparameter  beoordeling grondwatersanering (opgelost);10;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
10323;tetrachloormethaan;56-23-5;T4ClC1a;Milieu;Grondwater;Standaardwaarden grondwater (inclusief AC) (opgelost);0,01;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
10350;tetrahydrofuraan;109-99-9;T4Hfrn;Milieu;Grondwater;Signaleringsparameter  beoordeling grondwatersanering (opgelost);300;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
10366;tetrahydrofuraan;109-99-9;T4Hfrn;Milieu;Grondwater;Standaardwaarden grondwater (inclusief AC) (opgelost);0,5;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
10414;titanium;7440-32-6;Ti;Milieu;Oppervlaktewater zoet;log Kp l/kg (zwevend stof);3,62;;OW;Oppervlaktewater;NVT;Niet van toepassing;NVT;Niet van toepassing;NVT;Niet van toepassing
10415;titanium;7440-32-6;Ti;Milieu;Sediment;Sediment landelijke achtergrondconcentratie (droge stof);3465;mg/kg;BS;Bodem/Sediment;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;;
10417;titanium;7440-32-6;Ti;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren wettelijk JG-MKN (opgelost);20;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);JGM;Jaargemiddelde
